RF,Actual,Neural,Linear,Tree
115993.0,135900.0,115892.0,106474.0,122800.0
199423.0,254200.0,196427.0,238845.0,171400.0
252786.0,266400.0,245828.0,258739.0,242200.0
113734.0,98000.0,104392.0,98503.0,110150.0
104523.0,83100.0,87179.0,108973.0,94200.0
182366.0,130800.0,197407.0,159830.0,205300.0
114434.0,119200.0,93033.0,176862.0,130000.0
177757.0,136500.0,144062.0,168094.0,141700.0
197374.0,168300.0,191934.0,183213.0,158600.0
80748.0,102300.0,74155.0,87350.0,88000.0
248291.0,179300.0,218304.0,234494.0,237800.0
97270.0,89000.0,92260.0,56550.0,90800.0
226203.0,166200.0,205443.0,231516.0,245000.0
135551.0,123100.0,145132.0,145749.0,133000.0
111659.0,122600.0,92666.0,139812.0,87000.0
129201.0,183800.0,127149.0,150530.0,108100.0
109924.0,117700.0,105200.0,117916.0,87200.0
144664.0,117600.0,111941.0,128682.0,111200.0
100692.0,90700.0,82342.0,86498.0,99700.0
146495.0,115600.0,148637.0,125706.0,137200.0
92719.0,92500.0,76775.0,81490.0,124800.0
181592.0,177100.0,168575.0,160685.0,272000.0
250988.0,179800.0,192039.0,365340.0,312100.0
146872.0,106400.0,169193.0,151677.0,183400.0
173859.0,137800.0,122553.0,185239.0,153600.0
345606.0,302500.0,354377.0,302929.0,274200.0
447610.0,339000.0,259356.0,275002.0,498500.0
145775.0,108900.0,116329.0,150301.0,85000.0
236766.0,213400.0,186070.0,250655.0,222800.0
106591.0,131100.0,99221.0,171818.0,121100.0
148482.0,123800.0,123663.0,125091.0,102500.0
141100.0,86800.0,152584.0,158529.0,191300.0
415609.0,331600.0,524354.0,472850.0,570300.0
90773.0,116300.0,93323.0,63404.0,62900.0
137157.0,172900.0,133479.0,130409.0,126400.0
70930.0,61300.0,60542.0,91201.0,50000.0
254393.0,304700.0,265231.0,291516.0,257300.0
451163.0,285300.0,409245.0,419704.0,342900.0
95632.0,144600.0,81322.0,128644.0,71900.0
180503.0,75700.0,257725.0,366971.0,101600.0
193953.0,130700.0,162563.0,203458.0,141600.0
114430.0,133100.0,121539.0,138875.0,143100.0
103618.0,92700.0,64830.0,123649.0,83500.0
83010.0,71500.0,68193.0,94174.0,56700.0
161943.0,97500.0,113399.0,129096.0,154000.0
115804.0,66900.0,85782.0,108183.0,99000.0
177772.0,119500.0,225247.0,161459.0,157700.0
335010.0,286000.0,312146.0,333393.0,253700.0
149180.0,178900.0,114349.0,64114.0,113500.0
91540.0,107200.0,86246.0,73501.0,91700.0
126318.0,149000.0,122299.0,142407.0,102100.0
726608.0,1039000.0,817405.0,722838.0,535200.0
143615.0,108300.0,123630.0,156390.0,123000.0
126060.0,130900.0,116263.0,95779.0,139300.0
109661.0,101300.0,108267.0,133385.0,111200.0
122038.0,100500.0,107445.0,73959.0,92700.0
351308.0,169900.0,338551.0,297336.0,357300.0
74747.0,64200.0,58941.0,136396.0,77700.0
321930.0,587000.0,408674.0,275737.0,327800.0
95907.0,86900.0,91552.0,81851.0,103100.0
125589.0,155400.0,92572.0,172676.0,74600.0
89943.0,118700.0,77957.0,112076.0,71800.0
103302.0,116500.0,118122.0,178804.0,173300.0
258075.0,240700.0,233769.0,277458.0,233800.0
134325.0,134200.0,126770.0,113212.0,123100.0
165632.0,166400.0,124934.0,91188.0,144500.0
282466.0,208800.0,286215.0,365485.0,218000.0
67236.0,46500.0,67004.0,100504.0,53600.0
95270.0,104100.0,78457.0,75375.0,113000.0
222999.0,177400.0,176878.0,294531.0,211500.0
299957.0,197200.0,220978.0,345175.0,342100.0
878610.0,825100.0,833035.0,788675.0,651200.0
106880.0,124300.0,86225.0,104195.0,85700.0
88629.0,96200.0,83618.0,74643.0,79300.0
226087.0,155800.0,198555.0,205539.0,216400.0
130244.0,116300.0,117605.0,186089.0,202400.0
214278.0,100300.0,90277.0,153444.0,171500.0
171172.0,135300.0,159267.0,156996.0,173900.0
237826.0,197500.0,187536.0,261116.0,220400.0
132842.0,172200.0,130909.0,148101.0,113000.0
62284.0,48400.0,52145.0,27760.0,63400.0
579519.0,484900.0,439372.0,401738.0,700300.0
199194.0,165300.0,203380.0,209604.0,134600.0
710596.0,905800.0,419732.0,536018.0,542700.0
80755.0,59800.0,44149.0,147778.0,69800.0
105475.0,81600.0,84860.0,114410.0,98600.0
1010446.0,727800.0,845546.0,737963.0,1176700.0
119237.0,72600.0,114619.0,101590.0,107300.0
130956.0,99000.0,111554.0,145041.0,161600.0
397750.0,965400.0,538594.0,452194.0,759400.0
332953.0,189600.0,256050.0,282336.0,348900.0
277207.0,272700.0,342690.0,347167.0,371300.0
124989.0,89500.0,128169.0,133177.0,153900.0
446383.0,164100.0,120542.0,248461.0,875000.0
174302.0,167900.0,189128.0,196587.0,95000.0
351030.0,261700.0,301578.0,388455.0,401300.0
115059.0,132900.0,103977.0,96110.0,118900.0
159322.0,128200.0,169314.0,153340.0,156900.0
114986.0,120200.0,97458.0,47757.0,103000.0
152021.0,125400.0,101009.0,134780.0,226700.0
179795.0,169000.0,149223.0,170217.0,137600.0
76815.0,96100.0,68053.0,-17591.0,69200.0
111443.0,91800.0,89098.0,126908.0,113700.0
103235.0,87500.0,106612.0,117943.0,205200.0
527193.0,717900.0,393363.0,327793.0,470400.0
145106.0,91900.0,91765.0,117011.0,110000.0
166660.0,93800.0,136965.0,169973.0,95400.0
82785.0,68800.0,76689.0,105511.0,77700.0
194765.0,165000.0,164145.0,185774.0,338200.0
106196.0,103200.0,91348.0,134402.0,99700.0
387385.0,303500.0,302633.0,303115.0,608200.0
261725.0,286300.0,296600.0,251180.0,163000.0
237164.0,227000.0,189938.0,184541.0,215700.0
221622.0,158800.0,163309.0,214736.0,203400.0
87876.0,91700.0,76333.0,75549.0,90000.0
136718.0,160600.0,125289.0,165404.0,94000.0
238759.0,202700.0,237915.0,208934.0,331500.0
86396.0,49300.0,88526.0,103320.0,78100.0
116939.0,87100.0,100982.0,128559.0,93800.0
597037.0,471200.0,439823.0,558048.0,441200.0
253176.0,259200.0,212027.0,261385.0,197000.0
134620.0,187700.0,114794.0,117114.0,230900.0
226118.0,220800.0,196647.0,279928.0,204500.0
96006.0,76700.0,42941.0,151502.0,82800.0
279414.0,217500.0,251861.0,297384.0,248700.0
120958.0,85800.0,107349.0,42693.0,105100.0
127074.0,111600.0,110712.0,113843.0,94400.0
126330.0,99400.0,144157.0,198769.0,90650.0
104059.0,119400.0,96945.0,114336.0,122600.0
407872.0,404300.0,398945.0,580832.0,478700.0
337200.0,344200.0,337245.0,279562.0,362300.0
212216.0,396000.0,191722.0,201926.0,96400.0
137350.0,174100.0,137430.0,117262.0,72800.0
123234.0,130200.0,107659.0,74818.0,109500.0
170989.0,121300.0,139173.0,161347.0,190000.0
96706.0,71400.0,77126.0,12090.0,56800.0
114729.0,142000.0,107277.0,125849.0,101700.0
200224.0,160400.0,163311.0,229301.0,175200.0
136851.0,125100.0,116411.0,111322.0,120400.0
85083.0,39200.0,53719.0,95848.0,98000.0
236417.0,216400.0,236896.0,267292.0,215700.0
135927.0,106800.0,146115.0,141085.0,128800.0
105626.0,98800.0,83741.0,50154.0,104300.0
100781.0,95900.0,84843.0,91764.0,108100.0
653245.0,621300.0,733107.0,578403.0,542700.0
93974.0,74900.0,94222.0,88051.0,110400.0
335597.0,314000.0,276625.0,229355.0,381300.0
409564.0,401000.0,363122.0,429846.0,436600.0
119720.0,93900.0,122380.0,145955.0,84000.0
213163.0,47800.0,208105.0,226781.0,242800.0
135814.0,106900.0,118947.0,165368.0,142100.0
101989.0,103300.0,91012.0,76411.0,107100.0
322611.0,370800.0,328886.0,329974.0,241000.0
156864.0,94800.0,153151.0,142842.0,91100.0
206825.0,228500.0,208565.0,211012.0,159200.0
138288.0,127900.0,139164.0,152002.0,134800.0
107158.0,99100.0,83772.0,115299.0,100700.0
90119.0,161700.0,55108.0,-5448.0,34000.0
94634.0,74900.0,79818.0,88539.0,92700.0
103900.0,93800.0,77001.0,98268.0,99600.0
69861.0,56100.0,31276.0,49701.0,72700.0
85574.0,111000.0,65137.0,99744.0,99500.0
82813.0,78600.0,54711.0,51021.0,81300.0
95018.0,70000.0,83923.0,68930.0,93600.0
849528.0,549100.0,678210.0,597852.0,698800.0
206808.0,131600.0,150687.0,183968.0,244000.0
85658.0,45700.0,111656.0,92043.0,46400.0
128047.0,138000.0,133171.0,140085.0,125000.0
132901.0,125600.0,123587.0,94198.0,103900.0
71492.0,68000.0,66678.0,73987.0,32500.0
245040.0,232200.0,199492.0,259777.0,231900.0
143167.0,197700.0,131632.0,114209.0,158800.0
622585.0,567400.0,476865.0,737038.0,398200.0
110305.0,133100.0,105168.0,42460.0,98500.0
157166.0,130700.0,156925.0,166058.0,183700.0
111844.0,84700.0,124922.0,153256.0,112500.0
96227.0,83900.0,89718.0,82215.0,95200.0
204092.0,230300.0,202396.0,187329.0,206100.0
311116.0,230500.0,256488.0,301087.0,368300.0
317459.0,449600.0,321990.0,363876.0,346200.0
140707.0,181200.0,141002.0,103169.0,154900.0
167105.0,142400.0,134050.0,153000.0,383800.0
122848.0,86400.0,102639.0,86041.0,132800.0
131430.0,131300.0,127045.0,74075.0,154800.0
248492.0,246500.0,236161.0,324152.0,245500.0
136180.0,110600.0,114113.0,128480.0,100100.0
153549.0,150400.0,159372.0,208057.0,124500.0
257148.0,292100.0,223827.0,279854.0,337100.0
223096.0,224100.0,217060.0,244523.0,255800.0
128936.0,79200.0,108749.0,207464.0,118500.0
100733.0,105000.0,94249.0,98478.0,95900.0
453931.0,482700.0,734029.0,382281.0,876900.0
85794.0,110200.0,74832.0,64524.0,169200.0
324488.0,297500.0,287138.0,326278.0,289800.0
226435.0,231200.0,225212.0,229326.0,231700.0
95521.0,151900.0,62199.0,66177.0,72600.0
159213.0,138700.0,145184.0,110403.0,181700.0
103152.0,84700.0,73078.0,97296.0,87800.0
136883.0,119600.0,151139.0,187108.0,148800.0
126589.0,125300.0,106755.0,140490.0,101100.0
474135.0,447400.0,440968.0,478914.0,363600.0
79419.0,66300.0,54955.0,88265.0,66900.0
90821.0,52100.0,74295.0,111744.0,63600.0
92783.0,78500.0,90577.0,67295.0,55600.0
72464.0,43000.0,58352.0,99903.0,86100.0
297424.0,392800.0,295635.0,283542.0,211200.0
87187.0,85000.0,71414.0,77315.0,83600.0
125078.0,83900.0,110910.0,94026.0,122600.0
412252.0,297200.0,321317.0,369768.0,365700.0
115209.0,111800.0,108209.0,127771.0,142100.0
196020.0,208700.0,177990.0,185816.0,177200.0
204769.0,270800.0,203236.0,225017.0,212100.0
521861.0,637100.0,465572.0,592907.0,742000.0
89760.0,66200.0,69444.0,82182.0,84100.0
134219.0,111100.0,131406.0,141876.0,127100.0
96153.0,90400.0,77336.0,87807.0,124600.0
132573.0,114200.0,115025.0,104027.0,175000.0
405939.0,652200.0,283766.0,404760.0,498500.0
455825.0,229800.0,470003.0,349366.0,580000.0
180648.0,239800.0,188006.0,222774.0,170500.0
256322.0,334700.0,281713.0,339147.0,234600.0
94072.0,90200.0,98174.0,88218.0,68700.0
168526.0,154400.0,149304.0,137769.0,357600.0
619781.0,600000.0,584742.0,585803.0,1028800.0
208683.0,204100.0,226987.0,223807.0,225600.0
102886.0,79500.0,97706.0,138673.0,158800.0
76590.0,78600.0,75558.0,65886.0,42700.0
247397.0,210600.0,212688.0,288566.0,274900.0
132526.0,90200.0,133279.0,109782.0,90600.0
174584.0,157500.0,164890.0,176881.0,173700.0
135697.0,106500.0,127225.0,114938.0,108300.0
635275.0,378100.0,611667.0,453238.0,480900.0
148850.0,152200.0,143030.0,171174.0,122800.0
424976.0,303500.0,315253.0,421717.0,401300.0
597139.0,518600.0,565453.0,637346.0,761900.0
120582.0,87900.0,74609.0,96208.0,181300.0
267613.0,209000.0,226913.0,298963.0,242600.0
553430.0,507700.0,441195.0,566773.0,673000.0
524144.0,522500.0,516998.0,443831.0,399300.0
286285.0,229200.0,247966.0,211873.0,307800.0
535245.0,761200.0,465859.0,562242.0,696300.0
91873.0,95700.0,92191.0,67177.0,80100.0
190353.0,169100.0,158716.0,216970.0,197200.0
91933.0,66100.0,81900.0,103334.0,94200.0
177636.0,170200.0,204802.0,189350.0,168200.0
91037.0,92800.0,71511.0,92010.0,75000.0
68150.0,49900.0,57291.0,23283.0,56800.0
76921.0,96200.0,70279.0,49727.0,69350.0
122508.0,125700.0,121628.0,125387.0,110800.0
597766.0,644800.0,607505.0,582919.0,376700.0
173140.0,187700.0,160867.0,171316.0,225000.0
133336.0,156900.0,152361.0,156249.0,133200.0
148068.0,193800.0,154394.0,132292.0,137000.0
72128.0,35800.0,34361.0,68104.0,107400.0
219391.0,115900.0,127328.0,214596.0,284000.0
100989.0,71700.0,80809.0,140791.0,71200.0
146916.0,231700.0,145952.0,119418.0,169400.0
105641.0,103200.0,103571.0,80242.0,125400.0
303116.0,275100.0,230229.0,301337.0,283900.0
1239359.0,859500.0,833248.0,867816.0,1483400.0
156886.0,200900.0,167516.0,170486.0,137500.0
274089.0,276900.0,279161.0,292148.0,240600.0
162739.0,154000.0,165388.0,181096.0,174900.0
298649.0,320400.0,281134.0,316982.0,292100.0
131439.0,87100.0,109460.0,138803.0,178900.0
178194.0,155900.0,178867.0,210961.0,241800.0
122328.0,53800.0,138854.0,57035.0,153000.0
156241.0,193800.0,159889.0,151815.0,154200.0
103512.0,85800.0,90470.0,65318.0,62900.0
157756.0,131200.0,154431.0,126918.0,200600.0
155350.0,70700.0,149813.0,163610.0,142500.0
206681.0,196000.0,207357.0,191228.0,209200.0
147874.0,155600.0,171019.0,166586.0,371100.0
178176.0,222200.0,173791.0,213436.0,182200.0
76009.0,91300.0,56226.0,77244.0,89700.0
141352.0,126500.0,140865.0,150234.0,171900.0
199300.0,206400.0,184296.0,169387.0,296700.0
194156.0,181300.0,187426.0,254292.0,110100.0
180876.0,167100.0,179948.0,229153.0,245200.0
108787.0,103000.0,70875.0,123532.0,93900.0
112405.0,121300.0,105717.0,122684.0,117700.0
98556.0,94100.0,94567.0,111355.0,95900.0
175706.0,147300.0,131851.0,160017.0,261700.0
169979.0,229600.0,159426.0,127908.0,215700.0
153737.0,100000.0,79239.0,112268.0,130850.0
222608.0,305500.0,261312.0,203615.0,145100.0
103848.0,115300.0,82051.0,126214.0,103800.0
147009.0,85000.0,180684.0,251337.0,127100.0
169492.0,140100.0,145250.0,157733.0,136900.0
444711.0,593400.0,436339.0,480957.0,399900.0
186383.0,208800.0,160633.0,163783.0,118600.0
175667.0,147100.0,175594.0,178732.0,262800.0
100918.0,94500.0,95145.0,46132.0,105000.0
119706.0,220700.0,118661.0,100970.0,88800.0
338183.0,280400.0,296775.0,361179.0,333300.0
198167.0,168000.0,203591.0,213120.0,169200.0
120610.0,164200.0,89927.0,122234.0,127300.0
95536.0,101500.0,90382.0,122827.0,110700.0
111801.0,155400.0,109529.0,160992.0,101100.0
233860.0,183100.0,220708.0,254128.0,251300.0
282789.0,250800.0,330935.0,369547.0,233100.0
100052.0,104000.0,79651.0,169398.0,91400.0
96616.0,109800.0,83092.0,63049.0,117300.0
206559.0,209700.0,195965.0,214037.0,180300.0
128131.0,163500.0,114706.0,149030.0,147200.0
67718.0,146900.0,44549.0,56981.0,81800.0
102223.0,82800.0,84467.0,92945.0,138700.0
207570.0,143300.0,191831.0,214902.0,162400.0
103028.0,86300.0,93300.0,54447.0,94450.0
149538.0,116100.0,119220.0,169613.0,179300.0
100374.0,229200.0,104443.0,88196.0,92500.0
92736.0,130400.0,84690.0,69644.0,54700.0
95261.0,93300.0,100559.0,68437.0,118200.0
352710.0,291700.0,384234.0,336188.0,444000.0
137951.0,156200.0,122070.0,127386.0,133900.0
124618.0,134500.0,110295.0,120994.0,157900.0
101859.0,143900.0,95824.0,81489.0,83900.0
87019.0,107900.0,91570.0,82600.0,132200.0
73634.0,66600.0,45633.0,55756.0,117900.0
200593.0,190200.0,208464.0,186441.0,123000.0
93754.0,86000.0,71391.0,92276.0,84700.0
327777.0,498700.0,320235.0,379470.0,310800.0
56207.0,46900.0,31946.0,41571.0,47500.0
230805.0,303100.0,212426.0,212319.0,199300.0
81062.0,147900.0,74109.0,29417.0,117700.0
186775.0,237000.0,191937.0,207115.0,275300.0
70935.0,75400.0,58212.0,38976.0,61000.0
96627.0,84600.0,87024.0,109800.0,155900.0
104114.0,103800.0,99364.0,91686.0,118900.0
738432.0,1052600.0,683193.0,472151.0,877200.0
61727.0,71700.0,43030.0,17203.0,44200.0
120174.0,120200.0,105093.0,95446.0,128200.0
69903.0,64300.0,61009.0,34037.0,38900.0
101934.0,87200.0,103595.0,136241.0,112500.0
96605.0,114800.0,84590.0,63088.0,111400.0
201840.0,260100.0,201849.0,203371.0,150300.0
133001.0,157600.0,108800.0,140532.0,164800.0
154948.0,136600.0,131688.0,141111.0,168500.0
149000.0,160100.0,146476.0,152593.0,143800.0
94110.0,88000.0,58156.0,103642.0,98800.0
476378.0,329900.0,476774.0,508623.0,482200.0
240444.0,212100.0,229432.0,273565.0,259300.0
282004.0,494400.0,265408.0,369231.0,376700.0
108762.0,107200.0,89250.0,72504.0,106500.0
50845.0,55000.0,36444.0,17816.0,31700.0
127963.0,75500.0,103409.0,82161.0,62100.0
310730.0,206300.0,338466.0,278209.0,484900.0
111998.0,99100.0,97748.0,129507.0,115000.0
107606.0,101100.0,105217.0,111222.0,100900.0
172431.0,165500.0,153905.0,150046.0,144300.0
345548.0,303600.0,295906.0,353048.0,285500.0
112786.0,106000.0,105263.0,116872.0,120200.0
83584.0,111400.0,83318.0,89202.0,54600.0
141118.0,103200.0,144871.0,136807.0,159400.0
234631.0,130000.0,213615.0,231520.0,262100.0
121896.0,109900.0,123117.0,95173.0,81300.0
115468.0,79100.0,102509.0,174314.0,120300.0
170569.0,54100.0,153697.0,134305.0,111100.0
113942.0,119700.0,99862.0,78065.0,128600.0
99021.0,112200.0,112652.0,92563.0,96400.0
164104.0,121700.0,147864.0,193025.0,144500.0
66881.0,56400.0,94589.0,90101.0,74500.0
93655.0,87900.0,66646.0,72816.0,77400.0
210879.0,401500.0,254322.0,257452.0,264100.0
645285.0,640600.0,562708.0,655446.0,761900.0
99709.0,88900.0,98498.0,78694.0,104800.0
316240.0,446400.0,323721.0,389542.0,284900.0
144947.0,141900.0,130319.0,130606.0,147300.0
99937.0,111300.0,92842.0,95961.0,121200.0
64069.0,58100.0,53591.0,53887.0,73200.0
166166.0,145400.0,155739.0,150391.0,146500.0
84610.0,87300.0,82576.0,78749.0,102800.0
412851.0,452300.0,372254.0,466791.0,379200.0
105326.0,511900.0,107854.0,111772.0,88200.0
67824.0,65000.0,63573.0,60031.0,41000.0
118646.0,112800.0,85909.0,113997.0,197500.0
150637.0,184700.0,156853.0,182144.0,107900.0
160504.0,168400.0,151987.0,172138.0,150000.0
213679.0,218100.0,203934.0,238058.0,227800.0
98348.0,83900.0,84379.0,94343.0,78100.0
69814.0,44900.0,19915.0,66688.0,104000.0
108681.0,94200.0,90902.0,106042.0,120900.0
420449.0,383800.0,335780.0,360134.0,629400.0
101621.0,72800.0,96345.0,68437.0,100500.0
210077.0,341100.0,179737.0,204304.0,318400.0
149413.0,138100.0,146378.0,111299.0,183700.0
103812.0,85000.0,86621.0,131621.0,124600.0
107432.0,90600.0,111498.0,130779.0,86200.0
137823.0,124700.0,130968.0,162593.0,126400.0
271455.0,359500.0,295423.0,342525.0,172900.0
82299.0,98800.0,85172.0,105852.0,60500.0
590902.0,796700.0,620266.0,547451.0,641300.0
189973.0,207800.0,193725.0,222869.0,163700.0
216542.0,235200.0,256506.0,230893.0,146400.0
175493.0,271600.0,175528.0,154018.0,237300.0
235198.0,271400.0,227649.0,283815.0,147500.0
135425.0,116200.0,114512.0,123799.0,123000.0
126815.0,282400.0,121164.0,116910.0,57900.0
80267.0,66500.0,62375.0,65235.0,62700.0
316553.0,417300.0,280731.0,367023.0,298200.0
329010.0,211800.0,270785.0,299173.0,283000.0
107589.0,130600.0,88497.0,72968.0,122100.0
107709.0,148200.0,92830.0,143508.0,79500.0
112280.0,76800.0,140014.0,134967.0,88100.0
131313.0,210300.0,125766.0,126183.0,111000.0
318990.0,223800.0,293089.0,379265.0,246200.0
113178.0,100000.0,86960.0,102505.0,108700.0
61665.0,21600.0,46526.0,36493.0,153800.0
151770.0,214800.0,146712.0,159646.0,110500.0
477255.0,421600.0,325932.0,290407.0,469700.0
562151.0,515000.0,472366.0,466827.0,512800.0
183789.0,146600.0,150669.0,199937.0,167400.0
190710.0,201700.0,195734.0,239740.0,203200.0
83469.0,98600.0,77894.0,18872.0,104700.0
108678.0,120800.0,115161.0,91388.0,164700.0
92035.0,74500.0,88881.0,75469.0,83800.0
86930.0,118800.0,30674.0,105735.0,93100.0
200539.0,200300.0,175002.0,222517.0,159800.0
561766.0,748000.0,738590.0,548059.0,700800.0
576066.0,438400.0,489846.0,390261.0,480400.0
87072.0,85000.0,77235.0,83376.0,84100.0
85461.0,88000.0,57700.0,69446.0,106900.0
254646.0,218000.0,229358.0,273470.0,205400.0
72830.0,79800.0,62288.0,92225.0,44600.0
157981.0,317300.0,157916.0,219421.0,123100.0
81536.0,72500.0,74339.0,101960.0,88900.0
111135.0,97600.0,101783.0,122522.0,100100.0
70365.0,73700.0,95640.0,87886.0,73600.0
1069211.0,847600.0,791985.0,825500.0,1795900.0
229308.0,181800.0,234594.0,238994.0,198600.0
117457.0,95300.0,117841.0,102607.0,113500.0
97785.0,114900.0,112977.0,138631.0,42900.0
214271.0,221000.0,179825.0,315257.0,261000.0
197804.0,284400.0,187885.0,193362.0,132000.0
143732.0,183200.0,163647.0,165813.0,118050.0
194817.0,258400.0,182262.0,166449.0,185800.0
715790.0,758800.0,689083.0,683314.0,711000.0
91558.0,82200.0,72115.0,86841.0,77200.0
169760.0,95500.0,175166.0,218881.0,202500.0
138291.0,120800.0,83480.0,112445.0,112000.0
92819.0,61500.0,90557.0,105899.0,105000.0
80888.0,77700.0,72878.0,110615.0,75800.0
214679.0,256500.0,191177.0,230061.0,235000.0
335433.0,279600.0,269342.0,353863.0,379200.0
502673.0,348700.0,414078.0,519493.0,252900.0
205130.0,210600.0,204642.0,189579.0,219200.0
99216.0,86300.0,102382.0,109954.0,114800.0
171575.0,124400.0,151931.0,146022.0,151000.0
112427.0,84300.0,109316.0,134905.0,92550.0
135153.0,97400.0,121948.0,159561.0,240900.0
134984.0,170800.0,202380.0,137569.0,174600.0
196889.0,274200.0,202325.0,191449.0,154900.0
77517.0,95000.0,87147.0,85350.0,65800.0
108494.0,150000.0,120682.0,177152.0,65000.0
381809.0,401200.0,362842.0,464242.0,306300.0
119604.0,160200.0,118995.0,126063.0,130850.0
134874.0,132000.0,114553.0,138379.0,136500.0
103068.0,69900.0,104804.0,165106.0,77700.0
255598.0,258700.0,223264.0,312280.0,235800.0
120506.0,112300.0,115493.0,71548.0,107800.0
105787.0,98100.0,106106.0,88103.0,97200.0
79730.0,68500.0,80187.0,150353.0,63600.0
110188.0,97300.0,90952.0,158427.0,71500.0
96165.0,86200.0,82082.0,78120.0,83500.0
111326.0,152400.0,97977.0,110990.0,89200.0
122656.0,105900.0,106982.0,113506.0,114800.0
376311.0,311100.0,290369.0,199488.0,338600.0
282668.0,329700.0,262416.0,384601.0,281700.0
260579.0,286000.0,215265.0,188763.0,375000.0
126183.0,127400.0,125474.0,105881.0,135800.0
169217.0,206900.0,159449.0,172235.0,146550.0
207476.0,95200.0,89284.0,249246.0,166700.0
585935.0,703700.0,572928.0,520745.0,408700.0
200969.0,147000.0,174453.0,189027.0,146100.0
94234.0,81300.0,65638.0,64608.0,118900.0
117715.0,108000.0,111922.0,143965.0,101100.0
123013.0,69100.0,116961.0,107003.0,93300.0
227697.0,290200.0,231455.0,195211.0,147800.0
218643.0,232800.0,213275.0,209885.0,226400.0
97330.0,107300.0,95812.0,98364.0,79350.0
230183.0,235300.0,211086.0,275594.0,159400.0
199037.0,170500.0,121675.0,277858.0,229900.0
149085.0,156100.0,145051.0,117335.0,162500.0
234361.0,267700.0,246172.0,204687.0,187100.0
92385.0,88800.0,91213.0,45256.0,72700.0
128827.0,125800.0,118212.0,82007.0,113450.0
126411.0,81200.0,102111.0,62471.0,87000.0
445497.0,516200.0,438995.0,497734.0,553000.0
